GE TRTE  GEOFON Station Tartu, Estonia
GE UGM   GEOFON Station Wanagama, Indonesia
GE UJAP  DESERVE Station Al Uja, Palestine Territories
GE VAL   DIAS/IMS/GEOFON Station DIAS, IMS/GEOFON Station Valentia/Ireland
GE VOI   GEOFON Station Vohitsoka, Madagascar
GE VSU   GEOFON Station Vasula, Estonia
GE WIN   GSN/GEOFON Station GSN, GEOFON Station Windhoek/Namibia
GE WLF   GEOFON Station Walferdange, Luxembourg
GE YOGI  GEOFON Station Yogyakarta, Java
GE ZKR   NOA/GEOFON Station Zakros, Crete
IU ADK   Adak, Aleutian Islands, Alaska
IU AFI   Afiamalu, Samoa
IU ANMO  Albuquerque, New Mexico, USA
IU BBSR  Bermuda Institute of Ocean Sciences, St George's Bermuda
IU BILL  Bilibino, Russia
IU CASY  Casey, Antarctica
IU CCM   Cathedral Cave, Missouri, USA
IU CHTO  Chiang Mai, Thailand
IU COLA  College Outpost, Alaska, USA
IU COR   Corvallis, Oregon, USA
IU CTAO  Charters Towers, Australia
IU DAV   Davao, Philippines
IU DWPF  Disney Wilderness Preserve, Florida, USA
IU FUNA  Funafuti, Tuvalu
IU GNI   Garni, Armenia
IU GRFO  Grafenberg, Germany
IU GUMO  Guam, Mariana Islands
IU HKT   Hockley, Texas
IU HNR   Honiara, Solomon Islands
IU HRV   Adam Dziewonski Observatory (Oak Ridge), Massachusetts, USA
IU INCN  Inchon, Republic of Korea
IU KEV   Kevo, Finland
IU KIEV  Kiev, Ukraine
IU KIP   Kipapa, Hawaii, USA
IU KONO  Kongsberg, Norway
IU LCO   Las Campanas Astronomical Observatory, Chile
IU LSZ   Lusaka, Zambia
IU MA2   Magadan, Russia
IU MAJO  Matsushiro, Japan
IU MAKZ  Makanchi, Kazakhstan
IU MBWA  Marble Bar, Western Australia
IU MIDW  Midway Island, USA
IU NWAO  Narrogin, Australia
IU OTAV  Otavalo, Ecuador
IU PAB   San Pablo, Spain
IU PAYG  Puerto Ayora, Galapagos Islands
IU PET   Petropavlovsk, Russia
IU PMG   Port Moresby, New Guinea
IU PMSA  Palmer Station, Antarctica
IU POHA  Pohakuloa, Hawaii, USA
IU PTCN  Pitcairn Island, South Pacific
IU QSPA  South Pole Remote Earth Science Observatory (Quiet Zone)
IU RAO   Raoul, Kermadec Islands
IU RAR   Rarotonga, Cook Islands
IU RCBR  Riachuelo, Brazil
IU RSSD  Black Hills, South Dakota, USA
IU SBA   Scott Base, Antarctica
IU SDV   Santo Domingo, Venezuela
IU SFJD  Sondre Stromfjord, Greenland
IU SJG   San Juan, Puerto Rico
IU SLBS  Sierra la Laguna Baja California Sur, Mexico
IU SNZO  South Karori, New Zealand
IU SSPA  Standing Stone, Pennsylvania
IU TARA  Tarawa Island, Republic of Kiribati
IU TATO  Taipei, Taiwan
IU TEIG  Tepich, Yucatan, Mexico
IU TIXI  Tiksi, Russia
IU TRIS  Tristan da Cunha
IU TSUM  Tsumeb, Namibia
IU TUC   Tucson, Arizona
IU ULN   Ulaanbaatar, Mongolia
IU WAKE  Wake Island
IU WCI   Wyandotte Cave, Indiana, USA
IU WVT   Waverly, Tennessee, USA
IU XMAS  Kiritimati Island, Republic of Kiribati
IU YAK   Yakutsk, Russia
IU YSS   Yuzhno Sakhalinsk, Russia
PR AGPR  AGPR
PR AOPR  AOPR
PR CELP  CELP
PR CRPR  CRPR
PR ECPR  ECPR
PR EMPR  EMPR
PR GCPR  GCPR
PR HUMP  HUMP
PR IGPR  IGPR
PR MLPR  MLPR
PR MTP   MTP
PR PDPR  PDPR
PR PRSN  PRSN
